day,equity,failed,fail_reason
2024-01-01,10013.754900000002,False,
2024-01-02,10128.237052756702,False,
2024-01-03,10084.685633429848,False,
2024-01-04,10041.3214852061,False,
2024-01-05,9998.143802819714,False,
2024-01-06,10112.447481864012,False,
2024-01-07,10068.963957691996,False,
2024-01-08,10025.667412673922,False,
2024-01-09,9982.557042799424,False,
2024-01-10,9939.632047515388,False,
2024-01-11,9896.891629711072,False,
2024-01-12,9854.334995703315,False,
2024-01-13,9811.96135522179,False,
2024-01-14,9769.769921394336,False,
2024-01-15,9881.462718322979,False,
2024-01-16,9838.97242863419,False,
2024-01-17,9796.664847191063,False,
2024-01-18,9754.53918834814,False,
2024-01-19,9712.594669838243,False,
2024-01-20,9670.830512757939,False,
2024-01-21,9629.24594155308,False,
2024-01-22,9739.332199487424,False,
2024-01-23,9752.728553534498,False,
2024-01-24,9710.791820754299,False,
2024-01-25,9669.035415925056,False,
2024-01-26,9627.45856363658,False,
2024-01-27,9586.060491812941,False,
2024-01-28,9544.840431698145,False,
2024-01-29,9503.797617841843,False,
2024-01-30,9462.931288085123,False,
2024-01-31,9422.240683546357,False,
2024-02-01,9529.960355938592,False,
2024-02-02,9488.981526408055,False,
2024-02-03,9533.79156384733,False,
2024-02-04,9492.796260122786,False,
2024-02-05,9451.977236204259,False,
2024-02-06,9411.33373408858,False,
2024-02-07,9370.864999031997,False,
2024-02-08,9330.57027953616,False,
2024-02-09,9290.448827334154,False,
2024-02-10,9250.499897376618,False,
2024-02-11,9210.7227478179,False,
2024-02-12,9171.116640002283,False,
2024-02-13,9183.73141922944,False,
2024-02-14,9144.241374126754,False,
2024-02-15,9156.81918669445,False,
2024-02-16,9117.444864191664,False,
2024-02-17,9221.679961427088,False,
2024-02-18,9182.02673759295,False,
2024-02-19,9142.5440226213,False,
2024-02-20,9103.231083324028,False,
2024-02-21,9064.087189665735,False,
2024-02-22,9167.712275820717,False,
2024-02-23,9128.291113034687,False,
2024-02-24,9089.039461248638,False,
2024-02-25,9049.95659156527,False,
2024-02-26,9011.041778221539,False,
2024-02-27,9011.041778221539,True,MAX_LOSS_TOUCH@2024-02-27 00:05:00+00:00
