day,side,entry_time,exit_time,entry,exit,pnl_usd,pnl_pct,r,reason,mfe_pct,mae_pct,equity_after
2024-01-01,LONG,2024-01-01 00:04:00+00:00,2024-01-01 01:37:00+00:00,42397.23,42694.01061,53.99999999999865,0.005399999999999865,2.6999999999999327,TP,0.007991323961494599,-0.0010151606602601365,10053.999999999998
2024-01-01,LONG,2024-01-01 00:40:00+00:00,2024-01-01 01:38:00+00:00,42445.03,42742.145209999995,54.29159999999911,0.005399999999999912,2.699999999999956,TP,0.007774055054266688,-0.0011433611897552866,10108.291599999997
2024-01-02,LONG,2024-01-02 00:04:00+00:00,2024-01-02 00:13:00+00:00,44264.63,44574.48240999999,54.58477463999821,0.005399999999999824,2.6999999999999122,TP,0.007576478104527309,-6.235226635791966e-05,10162.876374639995
2024-01-02,LONG,2024-01-02 00:06:00+00:00,2024-01-02 00:15:00+00:00,44351.83,44662.29281,54.87953242305533,0.005399999999999937,2.6999999999999686,TP,0.008863670337841648,-0.0006687435445167311,10217.75590706305
2024-01-03,SHORT,2024-01-03 00:04:00+00:00,2024-01-03 00:07:00+00:00,44955.51,45045.42102,-36.783921265426876,-0.0035999999999999895,-1.7999999999999947,SL,0.00041641169235987234,-0.0023487665916813423,10180.971985797623
2024-01-04,LONG,2024-01-04 00:08:00+00:00,2024-01-04 01:17:00+00:00,42862.01,42776.28598,-36.65149914887179,-0.003600000000000034,-1.800000000000017,SL,0.002840744052833611,-0.002683728551227505,10144.320486648752
2024-01-05,LONG,2024-01-05 00:18:00+00:00,2024-01-05 00:32:00+00:00,44211.11,44122.68778,-36.5195537519356,-0.0036000000000000086,-1.8000000000000045,SL,0.0008450364625543349,-0.0027142498797248023,10107.800932896816
2024-01-06,SHORT,2024-01-06 00:24:00+00:00,2024-01-06 05:24:00+00:00,44040.09,43731.809369999995,54.582125037643074,0.005400000000000026,2.700000000000013,TP,0.00706833251249018,-0.0018235657556559253,10162.38305793446
2024-01-06,SHORT,2024-01-06 00:58:00+00:00,2024-01-06 05:18:00+00:00,44068.8,43760.318400000004,54.876868512845874,0.0053999999999999795,2.69999999999999,TP,0.0072341429764369095,-0.0005809098500526119,10217.259926447305
2024-01-07,LONG,2024-01-07 00:32:00+00:00,2024-01-07 02:38:00+00:00,44001.1,43913.097799999996,-36.78213573521091,-0.0036000000000000597,-1.8000000000000298,SL,0.005867807850258342,-0.0021785818990889,10180.477790712093
2024-01-08,LONG,2024-01-08 00:04:00+00:00,2024-01-08 00:14:00+00:00,43942.29,43854.40542,-36.64972004656309,-0.003599999999999956,-1.799999999999978,SL,0.0009947137484186447,-0.002600911331657974,10143.82807066553
2024-01-09,LONG,2024-01-09 00:04:00+00:00,2024-01-09 00:21:00+00:00,47040.0,46945.92,-36.51778105439629,-0.0036000000000000376,-1.800000000000019,SL,0.00233843537414966,-0.0021409438775510017,10107.310289611134
2024-01-10,SHORT,2024-01-10 00:06:00+00:00,2024-01-10 00:07:00+00:00,46030.0,46122.06,-36.38631704259957,-0.0035999999999999496,-1.7999999999999745,SL,0.0,-0.0024723006734738845,10070.923972568535
2024-01-11,SHORT,2024-01-11 00:08:00+00:00,2024-01-11 00:13:00+00:00,46372.52,46465.26504,-36.255326301247074,-0.0036000000000000346,-1.8000000000000174,SL,0.0012839500635288658,-0.0026412194118413924,10034.668646267288
2024-01-12,LONG,2024-01-12 00:08:00+00:00,2024-01-12 00:12:00+00:00,46387.01,46294.235980000005,-36.124807126561606,-0.003599999999999937,-1.7999999999999685,SL,0.00028003529436361523,-0.002828593608426133,9998.543839140726
2024-01-13,LONG,2024-01-13 00:08:00+00:00,2024-01-13 00:11:00+00:00,42978.19,42892.23362,-35.994757820907374,-0.0036000000000000762,-1.800000000000038,SL,0.00036413818264552735,-0.0020391738228156984,9962.54908131982
2024-01-14,SHORT,2024-01-14 00:10:00+00:00,2024-01-14 06:46:00+00:00,42812.91,42898.535820000005,-35.865176692751604,-0.0036000000000000255,-1.8000000000000127,SL,0.005847535241122498,-0.0031576923876465075,9926.683904627067
2024-01-15,LONG,2024-01-15 00:04:00+00:00,2024-01-15 00:17:00+00:00,41842.41,42135.30687,53.60409308498541,0.005399999999999924,2.699999999999962,TP,0.0075901459786851784,-0.00010539545881806263,9980.287997712052
2024-01-15,LONG,2024-01-15 00:06:00+00:00,2024-01-15 00:18:00+00:00,41867.44,42160.51208,53.89355518764462,0.005399999999999954,2.699999999999977,TP,0.0070152366612336245,-0.0003427484460479509,10034.181552899696
2024-01-16,SHORT,2024-01-16 00:08:00+00:00,2024-01-16 00:11:00+00:00,42478.04,42562.996080000004,-36.123053590439746,-0.0036000000000000836,-1.8000000000000418,SL,0.00026272398632336833,-0.0028706597573711578,9998.058499309256
2024-01-17,SHORT,2024-01-17 00:10:00+00:00,2024-01-17 01:17:00+00:00,43098.05,43184.246100000004,-35.99301059751355,-0.0036000000000000233,-1.8000000000000116,SL,0.0011146676009703657,-0.0020091396246465095,9962.065488711743
2024-01-18,SHORT,2024-01-18 00:08:00+00:00,2024-01-18 06:01:00+00:00,42721.75,42807.1935,-35.86343575936256,-0.0036000000000000285,-1.800000000000014,SL,0.005139302580067476,-0.0023980759215153193,9926.202052952382
2024-01-19,LONG,2024-01-19 00:04:00+00:00,2024-01-19 00:12:00+00:00,41339.98,41257.30004,-35.73432739062888,-0.0036000000000000307,-1.8000000000000151,SL,0.0007501213111374209,-0.002200775133418139,9890.467725561753
2024-01-20,SHORT,2024-01-20 00:34:00+00:00,2024-01-20 01:28:00+00:00,41541.49,41624.57298,-35.60568381202213,-0.0035999999999999813,-1.7999999999999907,SL,0.0020507208576292053,-0.0020059463442452775,9854.862041749731
2024-01-21,LONG,2024-01-21 00:04:00+00:00,2024-01-21 06:19:00+00:00,41703.52,41620.11296,-35.47750335029862,-0.003599999999999958,-1.799999999999979,SL,0.0006349583920015194,-0.0033385671041676083,9819.384538399432
2024-01-22,SHORT,2024-01-22 01:42:00+00:00,2024-01-22 03:22:00+00:00,41403.78,41113.953539999995,53.02467650735785,0.005400000000000094,2.700000000000047,TP,0.008185967561415897,-0.0016259385012672685,9872.40921490679
2024-01-22,SHORT,2024-01-22 01:50:00+00:00,2024-01-22 03:22:00+00:00,41406.01,41116.16793,53.31100976049637,0.00539999999999997,2.6999999999999855,TP,0.00823938360638959,-0.0006576340004747119,9925.720224667286
2024-01-23,LONG,2024-01-23 00:10:00+00:00,2024-01-23 02:15:00+00:00,39652.89,39930.46023,53.59888921320273,0.005399999999999939,2.699999999999969,TP,0.00713970658885142,-2.5218842818360196e-07,9979.319113880489
2024-01-23,LONG,2024-01-23 00:32:00+00:00,2024-01-23 00:42:00+00:00,39767.2,39687.6656,-35.925548809968966,-0.0035999999999999205,-1.79999999999996,SL,0.0010596672634734007,-0.0024945180953146588,9943.393565070519
2024-01-24,LONG,2024-01-24 00:06:00+00:00,2024-01-24 00:10:00+00:00,39952.33,39872.42534,-35.796216834253904,-0.003600000000000004,-1.8000000000000018,SL,0.0,-0.0023873451185451424,9907.597348236264
2024-01-25,LONG,2024-01-25 00:10:00+00:00,2024-01-25 01:31:00+00:00,40082.86,40002.69428,-35.66735045364987,-0.003599999999999931,-1.7999999999999656,SL,0.002394539710988585,-0.002067217758413461,9871.929997782614
2024-01-26,SHORT,2024-01-26 00:14:00+00:00,2024-01-26 02:10:00+00:00,39921.54,40001.38308,-35.5389479920171,-0.0035999999999999687,-1.7999999999999843,SL,0.002480365236411323,-0.002967320398962543,9836.391049790596
2024-01-27,LONG,2024-01-27 00:06:00+00:00,2024-01-27 00:46:00+00:00,41824.55,41740.9009,-35.4110077792467,-0.0036000000000000563,-1.800000000000028,SL,0.0010070640329661728,-0.0024478446271389565,9800.98004201135
2024-01-28,SHORT,2024-01-28 00:06:00+00:00,2024-01-28 01:18:00+00:00,42101.1,42185.3022,-35.283528151240795,-0.0035999999999999934,-1.7999999999999967,SL,0.004182788573220143,-0.0020586160456614734,9765.696513860108
2024-01-29,SHORT,2024-01-29 00:18:00+00:00,2024-01-29 00:28:00+00:00,41884.16,41967.928320000006,-35.156507449897056,-0.0036000000000000684,-1.800000000000034,SL,2.387537437073411e-07,-0.002552993780942318,9730.54000641021
2024-01-30,SHORT,2024-01-30 00:04:00+00:00,2024-01-30 00:25:00+00:00,43188.24,43274.61648,-35.02994402307653,-0.003599999999999977,-1.7999999999999883,SL,0.0012582128838775674,-0.0020294876568251324,9695.510062387133
