day,equity,failed,fail_reason
2024-01-01,10096.2304,False,
2024-01-02,10193.386828988416,False,
2024-01-03,10160.767991135654,False,
2024-01-04,10128.253533564019,False,
2024-01-05,10095.843122256614,False,
2024-01-06,10192.995824455813,False,
2024-01-07,10160.378237817553,False,
2024-01-08,10127.865027456537,False,
2024-01-09,10095.455859368676,False,
2024-01-10,10063.150400618697,False,
2024-01-11,10030.948319336716,False,
2024-01-12,9998.849284714839,False,
2024-01-13,9966.852967003751,False,
2024-01-14,9934.95903750934,False,
2024-01-15,10030.563545725654,False,
2024-01-16,9998.46574237933,False,
2024-01-17,9966.470652003716,False,
2024-01-18,9934.577945917305,False,
2024-01-19,9902.787296490369,False,
2024-01-20,9871.0983771416,False,
2024-01-21,9839.510862334746,False,
2024-01-22,9934.196868943429,False,
2024-01-23,9949.938994669832,False,
2024-01-24,9918.099189886889,False,
2024-01-25,9886.361272479251,False,
2024-01-26,9854.724916407318,False,
2024-01-27,9823.189796674815,False,
2024-01-28,9791.755589325456,False,
2024-01-29,9760.421971439613,False,
2024-01-30,9729.188621131007,False,
2024-01-31,9822.812992399697,False,
2024-02-01,9917.33831473808,False,
2024-02-02,9933.053725725145,False,
2024-02-03,10028.63989904995,False,
2024-02-04,10044.53168297958,False,
2024-02-05,10060.448649665695,False,
2024-02-06,10028.255213986766,False,
2024-02-07,9996.164797302008,False,
2024-02-08,9964.177069950641,False,
2024-02-09,9932.291703326799,False,
2024-02-10,9900.508369876154,False,
2024-02-11,9868.82674309255,False,
2024-02-12,9837.246497514654,False,
2024-02-13,9931.910714050096,False,
2024-02-14,10027.48588812783,False,
2024-02-15,10043.375843365593,False,
2024-02-16,10011.237040666823,False,
2024-02-17,10107.575575158642,False,
2024-02-18,10075.231333318134,False,
2024-02-19,10042.990593051514,False,
2024-02-20,10010.85302315375,False,
2024-02-21,9978.818293479659,False,
2024-02-22,10074.844861070544,False,
2024-02-23,10042.605357515118,False,
2024-02-24,10010.46902037107,False,
2024-02-25,9978.435519505883,False,
2024-02-26,9946.504525843464,False,
2024-02-27,9914.675711360765,False,
2024-02-28,9882.948749084411,False,
2024-02-29,9851.323313087341,False,
2024-03-01,9819.799078485463,False,
2024-03-02,9788.37572143431,False,
2024-03-03,9757.05291912572,False,
2024-03-04,9850.945429648584,False,
2024-03-05,9819.422404273708,False,
2024-03-06,9788.000252580032,False,
2024-03-07,9756.678651771776,False,
2024-03-08,9850.567560704923,False,
2024-03-09,9819.045744510668,False,
2024-03-10,9787.624798128234,False,
2024-03-11,9803.134659888341,False,
2024-03-12,9771.764628976698,False,
2024-03-13,9740.494982163971,False,
2024-03-14,9709.325398221046,False,
2024-03-15,9678.255556946739,False,
2024-03-16,9693.5921078325,False,
2024-03-17,9662.572613087434,False,
2024-03-18,9631.652380725554,False,
2024-03-19,9600.831093107234,False,
2024-03-20,9570.10843360929,False,
2024-03-21,9539.48408662174,False,
2024-03-22,9508.95773754455,False,
2024-03-23,9478.529072784408,False,
2024-03-24,9493.549129094305,False,
2024-03-25,9508.592986786234,False,
2024-03-26,9478.165489228519,False,
2024-03-27,9447.835359662988,False,
2024-03-28,9462.806777487323,False,
2024-03-29,9432.525795799364,False,
2024-03-30,9402.341713252807,False,
2024-03-31,9492.820823653106,False,
2024-04-01,9584.170618151953,False,
2024-04-02,9553.501272173866,False,
2024-04-03,9522.930068102909,False,
2024-04-04,9492.45669188498,False,
2024-04-05,9462.080830470948,False,
2024-04-06,9431.80217181344,False,
2024-04-07,9401.620404863637,False,
2024-04-08,9371.535219568075,False,
2024-04-09,9341.546306865457,False,
2024-04-10,9311.653358683488,False,
2024-04-11,9281.856067935702,False,
2024-04-12,9371.175740151688,False,
2024-04-13,9386.025680076562,False,
2024-04-14,9355.990397900317,False,
2024-04-15,9326.051228627035,False,
2024-04-16,9296.207864695429,False,
2024-04-17,9266.459999528402,False,
2024-04-18,9236.807327529912,False,
2024-04-19,9325.693493915027,False,
2024-04-20,9295.851274734498,False,
2024-04-21,9266.104550655347,False,
2024-04-22,9236.45301609325,False,
2024-04-23,9206.896366441752,False,
2024-04-24,9177.434298069138,False,
2024-04-25,9191.977227555231,False,
2024-04-26,9280.431992095086,False,
2024-04-27,9250.73460972038,False,
2024-04-28,9339.754798899105,False,
2024-04-29,9309.867583542627,False,
2024-04-30,9280.076007275291,False,
2024-05-01,9250.37976405201,False,
2024-05-02,9220.778548807044,False,
2024-05-03,9191.272057450862,False,
2024-05-04,9161.859986867019,False,
2024-05-05,9132.542034909044,False,
2024-05-06,9103.317900397335,False,
2024-05-07,9074.187283116064,False,
2024-05-08,9045.149883810092,False,
2024-05-09,9059.483190121973,False,
2024-05-10,9030.492843913582,False,
2024-05-11,9001.595266813058,False,
2024-05-12,9001.595266813058,True,MAX_LOSS_TOUCH@2024-05-12 00:05:00+00:00
