day,side,entry_time,exit_time,entry,exit,pnl_usd,pnl_pct,r,reason,mfe_pct,mae_pct,equity_after
2024-01-01,LONG,2024-01-01 00:04:00+00:00,2024-01-01 01:36:00+00:00,42397.23,42651.61338,41.99999999999983,0.004199999999999983,2.0999999999999917,TP,0.00688441202408736,-0.0010151606602601365,10042.0
2024-01-01,LONG,2024-01-01 00:40:00+00:00,2024-01-01 01:37:00+00:00,42445.03,42699.70018,42.176400000000235,0.004200000000000023,2.1000000000000116,TP,0.006856161958184552,-0.0011433611897552866,10084.1764
2024-01-02,LONG,2024-01-02 00:04:00+00:00,2024-01-02 00:13:00+00:00,44264.63,44530.21778,42.35354088000038,0.004200000000000038,2.1000000000000187,TP,0.007576478104527309,-6.235226635791966e-05,10126.52994088
2024-01-02,LONG,2024-01-02 00:06:00+00:00,2024-01-02 00:14:00+00:00,44351.83,44617.94098,42.531425751695465,0.004199999999999947,2.0999999999999734,TP,0.006722834209997608,-0.0006687435445167311,10169.061366631695
2024-01-03,SHORT,2024-01-03 00:04:00+00:00,2024-01-03 00:07:00+00:00,44955.51,45045.42102,-38.64243319320034,-0.00379999999999999,-1.899999999999995,SL,0.00041641169235987234,-0.0023487665916813423,10130.418933438494
2024-01-04,LONG,2024-01-04 00:08:00+00:00,2024-01-04 01:17:00+00:00,42862.01,42776.28598,-38.49559194706662,-0.0038000000000000343,-1.9000000000000172,SL,0.002840744052833611,-0.002683728551227505,10091.923341491427
2024-01-05,LONG,2024-01-05 00:18:00+00:00,2024-01-05 00:32:00+00:00,44211.11,44122.68778,-38.34930869766751,-0.0038000000000000087,-1.9000000000000044,SL,0.0008450364625543349,-0.0027142498797248023,10053.57403279376
2024-01-06,SHORT,2024-01-06 00:24:00+00:00,2024-01-06 05:17:00+00:00,44040.09,43775.84946,42.225010937733536,0.004199999999999975,2.099999999999987,TP,0.0060710593461547275,-0.0018235657556559253,10095.799043731493
2024-01-06,SHORT,2024-01-06 00:58:00+00:00,2024-01-06 05:08:00+00:00,44068.8,43804.387200000005,42.40235598367187,0.00419999999999996,2.09999999999998,TP,0.00627019569400573,-0.0005809098500526119,10138.201399715164
2024-01-07,LONG,2024-01-07 00:32:00+00:00,2024-01-07 02:38:00+00:00,44001.1,43913.097799999996,-38.52516531891823,-0.0038000000000000603,-1.9000000000000299,SL,0.005867807850258342,-0.0021785818990889,10099.676234396245
