day,side,entry_time,exit_time,entry,exit,pnl_usd,pnl_pct,r,reason,mfe_pct,mae_pct,equity_after
2024-01-01,LONG,2024-01-01 00:04:00+00:00,2024-01-01 01:37:00+00:00,42397.23,42694.01061,46.99999999999865,0.004699999999999865,2.3499999999999326,TP,0.007991323961494599,-0.0010151606602601365,10046.999999999998
2024-01-01,LONG,2024-01-01 00:40:00+00:00,2024-01-01 01:38:00+00:00,42445.03,42742.145209999995,47.22089999999912,0.0046999999999999134,2.3499999999999566,TP,0.007774055054266688,-0.0011433611897552866,10094.220899999997
2024-01-02,LONG,2024-01-02 00:04:00+00:00,2024-01-02 00:13:00+00:00,44264.63,44574.48240999999,47.442838229998216,0.004699999999999825,2.3499999999999126,TP,0.007576478104527309,-6.235226635791966e-05,10141.663738229994
2024-01-02,LONG,2024-01-02 00:06:00+00:00,2024-01-02 00:15:00+00:00,44351.83,44662.29281,47.665819569680345,0.004699999999999938,2.349999999999969,TP,0.008863670337841648,-0.0006687435445167311,10189.329557799674
2024-01-03,SHORT,2024-01-03 00:04:00+00:00,2024-01-03 00:07:00+00:00,44955.51,45045.42102,-43.8141170985385,-0.0042999999999999905,-2.1499999999999955,SL,0.00041641169235987234,-0.0023487665916813423,10145.515440701136
2024-01-04,LONG,2024-01-04 00:08:00+00:00,2024-01-04 01:17:00+00:00,42862.01,42776.28598,-43.62571639501523,-0.004300000000000034,-2.1500000000000172,SL,0.002840744052833611,-0.002683728551227505,10101.88972430612
2024-01-05,LONG,2024-01-05 00:18:00+00:00,2024-01-05 00:32:00+00:00,44211.11,44122.68778,-43.438125814516404,-0.004300000000000009,-2.1500000000000044,SL,0.0008450364625543349,-0.0027142498797248023,10058.451598491603
2024-01-06,SHORT,2024-01-06 00:24:00+00:00,2024-01-06 05:24:00+00:00,44040.09,43731.809369999995,47.2747225129108,0.004700000000000026,2.3500000000000134,TP,0.00706833251249018,-0.0018235657556559253,10105.726321004515
2024-01-06,SHORT,2024-01-06 00:58:00+00:00,2024-01-06 05:18:00+00:00,44068.8,43760.318400000004,47.49691370872102,0.00469999999999998,2.3499999999999903,TP,0.0072341429764369095,-0.0005809098500526119,10153.223234713236
2024-01-07,LONG,2024-01-07 00:32:00+00:00,2024-01-07 02:38:00+00:00,44001.1,43913.097799999996,-43.65885990926752,-0.00430000000000006,-2.1500000000000297,SL,0.005867807850258342,-0.0021785818990889,10109.564374803967
2024-01-08,LONG,2024-01-08 00:04:00+00:00,2024-01-08 00:14:00+00:00,43942.29,43854.40542,-43.47112681165662,-0.004299999999999957,-2.149999999999978,SL,0.0009947137484186447,-0.002600911331657974,10066.09324799231
2024-01-09,LONG,2024-01-09 00:04:00+00:00,2024-01-09 00:21:00+00:00,47040.0,46945.92,-43.28420096636731,-0.004300000000000037,-2.1500000000000186,SL,0.00233843537414966,-0.0021409438775510017,10022.809047025943
2024-01-10,SHORT,2024-01-10 00:06:00+00:00,2024-01-10 00:07:00+00:00,46030.0,46122.06,-43.09807890221105,-0.00429999999999995,-2.149999999999975,SL,0.0,-0.0024723006734738845,9979.710968123733
2024-01-11,SHORT,2024-01-11 00:08:00+00:00,2024-01-11 00:13:00+00:00,46372.52,46465.26504,-42.912757162932394,-0.004300000000000035,-2.1500000000000172,SL,0.0012839500635288658,-0.0026412194118413924,9936.7982109608
2024-01-12,LONG,2024-01-12 00:08:00+00:00,2024-01-12 00:12:00+00:00,46387.01,46294.235980000005,-42.728232307130824,-0.0042999999999999376,-2.149999999999969,SL,0.00028003529436361523,-0.002828593608426133,9894.06997865367
2024-01-13,LONG,2024-01-13 00:08:00+00:00,2024-01-13 00:11:00+00:00,42978.19,42892.23362,-42.54450090821153,-0.004300000000000076,-2.150000000000038,SL,0.00036413818264552735,-0.0020391738228156984,9851.525477745457
2024-01-14,SHORT,2024-01-14 00:10:00+00:00,2024-01-14 06:46:00+00:00,42812.91,42898.535820000005,-42.36155955430572,-0.004300000000000026,-2.150000000000013,SL,0.005847535241122498,-0.0031576923876465075,9809.163918191152
2024-01-15,LONG,2024-01-15 00:04:00+00:00,2024-01-15 00:17:00+00:00,41842.41,42135.30687,46.103070415497655,0.004699999999999922,2.349999999999961,TP,0.0075901459786851784,-0.00010539545881806263,9855.26698860665
2024-01-15,LONG,2024-01-15 00:06:00+00:00,2024-01-15 00:18:00+00:00,41867.44,42160.51208,46.3197548464508,0.004699999999999953,2.3499999999999766,TP,0.0070152366612336245,-0.0003427484460479509,9901.586743453101
