day,side,entry_time,exit_time,entry,exit,pnl_usd,pnl_pct,r,reason,mfe_pct,mae_pct,equity_after
2024-01-01,LONG,2024-01-01 00:04:00+00:00,2024-01-01 01:37:00+00:00,42397.23,42694.01061,57.99999999999865,0.005799999999999865,2.8999999999999324,TP,0.007991323961494599,-0.0010151606602601365,10057.999999999998
2024-01-01,LONG,2024-01-01 00:40:00+00:00,2024-01-01 01:38:00+00:00,42445.03,42742.145209999995,58.33639999999912,0.005799999999999913,2.899999999999957,TP,0.007774055054266688,-0.0011433611897552866,10116.336399999997
2024-01-02,LONG,2024-01-02 00:04:00+00:00,2024-01-02 00:13:00+00:00,44264.63,44574.48240999999,58.674751119998206,0.005799999999999824,2.8999999999999124,TP,0.007576478104527309,-6.235226635791966e-05,10175.011151119994
2024-01-02,LONG,2024-01-02 00:06:00+00:00,2024-01-02 00:15:00+00:00,44351.83,44662.29281,59.015064676495335,0.005799999999999938,2.899999999999969,TP,0.008863670337841648,-0.0006687435445167311,10234.02621579649
2024-01-03,SHORT,2024-01-03 00:04:00+00:00,2024-01-03 00:07:00+00:00,44955.51,45045.42102,-32.74888389054867,-0.00319999999999999,-1.5999999999999952,SL,0.00041641169235987234,-0.0023487665916813423,10201.277331905942
2024-01-04,LONG,2024-01-04 00:08:00+00:00,2024-01-04 01:17:00+00:00,42862.01,42776.28598,-32.644087462099364,-0.0032000000000000344,-1.6000000000000172,SL,0.002840744052833611,-0.002683728551227505,10168.633244443843
2024-01-05,LONG,2024-01-05 00:18:00+00:00,2024-01-05 00:32:00+00:00,44211.11,44122.68778,-32.53962638222039,-0.0032000000000000093,-1.6000000000000045,SL,0.0008450364625543349,-0.0027142498797248023,10136.093618061623
2024-01-06,SHORT,2024-01-06 00:24:00+00:00,2024-01-06 05:24:00+00:00,44040.09,43731.809369999995,58.789342984757674,0.005800000000000026,2.9000000000000132,TP,0.00706833251249018,-0.0018235657556559253,10194.88296104638
2024-01-06,SHORT,2024-01-06 00:58:00+00:00,2024-01-06 05:18:00+00:00,44068.8,43760.318400000004,59.13032117406879,0.005799999999999979,2.8999999999999897,TP,0.0072341429764369095,-0.0005809098500526119,10254.013282220449
2024-01-07,LONG,2024-01-07 00:32:00+00:00,2024-01-07 02:38:00+00:00,44001.1,43913.097799999996,-32.812842503106054,-0.0032000000000000604,-1.6000000000000303,SL,0.005867807850258342,-0.0021785818990889,10221.200439717342
2024-01-08,LONG,2024-01-08 00:04:00+00:00,2024-01-08 00:14:00+00:00,43942.29,43854.40542,-32.70784140709505,-0.003199999999999957,-1.5999999999999783,SL,0.0009947137484186447,-0.002600911331657974,10188.492598310248
2024-01-09,LONG,2024-01-09 00:04:00+00:00,2024-01-09 00:21:00+00:00,47040.0,46945.92,-32.60317631459318,-0.003200000000000038,-1.600000000000019,SL,0.00233843537414966,-0.0021409438775510017,10155.889421995655
2024-01-10,SHORT,2024-01-10 00:06:00+00:00,2024-01-10 00:07:00+00:00,46030.0,46122.06,-32.49884615038558,-0.0031999999999999494,-1.5999999999999748,SL,0.0,-0.0024723006734738845,10123.39057584527
2024-01-11,SHORT,2024-01-11 00:08:00+00:00,2024-01-11 00:13:00+00:00,46372.52,46465.26504,-32.39484984270521,-0.003200000000000035,-1.6000000000000174,SL,0.0012839500635288658,-0.0026412194118413924,10090.995726002564
