run,tp,fee,slip,net_pnl,profit_factor,winrate,n_trades,final_equity,failed,fail_reason,mdd_abs,mdd_pct
tp=0.008_fee=0.0008_slip=0.0002_2024-01-01_to_2024-06-30,0.008,0.0008,0.0002,-982.7542839296345,0.52708336058427,0.2702702702702703,74,9017.24571607036,True,MAX_LOSS_TOUCH@2024-03-03 00:21:00+00:00,1123.11,0.1108
tp=0.007_fee=0.0008_slip=0.00035_2024-01-01_to_2024-06-30,0.007,0.0008,0.00035,-978.0791923318075,0.5258150916459698,0.32432432432432434,74,9021.920807668188,True,MAX_LOSS_TOUCH@2024-03-01 00:05:00+00:00,1167.41,0.1146
tp=0.008_fee=0.0006_slip=0.0005_2024-01-01_to_2024-06-30,0.008,0.0006,0.0005,-964.5838082693074,0.5212507059712513,0.2857142857142857,70,9035.416191730697,True,MAX_LOSS_TOUCH@2024-02-28 00:24:00+00:00,1096.86,0.1083
tp=0.006_fee=0.0006_slip=0.0005_2024-01-01_to_2024-06-30,0.006,0.0006,0.0005,-993.6925608926072,0.5159982131605684,0.3625,80,9006.307439107391,True,MAX_LOSS_TOUCH@2024-03-04 00:15:00+00:00,1146.56,0.1129
tp=0.006_fee=0.0008_slip=0.00035_2024-01-01_to_2024-06-30,0.006,0.0008,0.00035,-988.2185753153286,0.5098273115090147,0.3717948717948718,78,9011.781424684676,True,MAX_LOSS_TOUCH@2024-03-02 00:35:00+00:00,1137.04,0.112
tp=0.008_fee=0.0008_slip=0.00035_2024-01-01_to_2024-06-30,0.008,0.0008,0.00035,-988.9582217784608,0.5096459279859138,0.2898550724637681,69,9011.041778221539,True,MAX_LOSS_TOUCH@2024-02-27 00:05:00+00:00,1117.2,0.1103
tp=0.007_fee=0.0008_slip=0.0005_2024-01-01_to_2024-06-30,0.007,0.0008,0.0005,-970.6905906964492,0.5088044529407602,0.34782608695652173,69,9029.309409303554,True,MAX_LOSS_TOUCH@2024-02-25 01:37:00+00:00,1147.86,0.1128
tp=0.005_fee=0.0008_slip=0.0002_2024-01-01_to_2024-06-30,0.005,0.0008,0.0002,-983.9096783640728,0.507553296130377,0.40229885057471265,87,9016.090321635927,True,MAX_LOSS_TOUCH@2024-03-07 00:05:00+00:00,1104.45,0.1091
tp=0.006_fee=0.0008_slip=0.0005_2024-01-01_to_2024-06-30,0.006,0.0008,0.0005,-991.6592386507301,0.4851640944703861,0.3972602739726027,73,9008.340761349267,True,MAX_LOSS_TOUCH@2024-02-26 00:05:00+00:00,1128.35,0.1113
tp=0.005_fee=0.0006_slip=0.0005_2024-01-01_to_2024-06-30,0.005,0.0006,0.0005,-963.7061829259444,0.4799870953891595,0.4177215189873418,79,9036.293817074053,True,MAX_LOSS_TOUCH@2024-02-29 00:07:00+00:00,1076.18,0.1064
tp=0.005_fee=0.0008_slip=0.00035_2024-01-01_to_2024-06-30,0.005,0.0008,0.00035,-996.1901664278355,0.46179225916631506,0.4230769230769231,78,9003.809833572166,True,MAX_LOSS_TOUCH@2024-02-28 00:11:00+00:00,1104.63,0.1093
tp=0.008_fee=0.0008_slip=0.0005_2024-01-01_to_2024-06-30,0.008,0.0008,0.0005,-961.3892410153891,0.42810078102351645,0.2830188679245283,53,9038.610758984607,True,MAX_LOSS_TOUCH@2024-02-14 07:03:00+00:00,1084.52,0.1072
tp=0.005_fee=0.0008_slip=0.0005_2024-01-01_to_2024-06-30,0.005,0.0008,0.0005,-959.6971188623316,0.4248066761585366,0.4492753623188406,69,9040.302881137666,True,MAX_LOSS_TOUCH@2024-02-20 00:39:00+00:00,1056.04,0.1046
